tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-mass,animal-ring-id,animal-sex,attachment-type,data-processing-software,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deployment-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,outlier-comments,tag-comments,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method,tag-serial-no
181469,HA01,Pterodroma hasitata,2019-05-08 13:51:00.000,2019-05-25 23:59:00.000,Dark phenotype,Adult,370.0,1353-01300,m,other,foieGras R package (Jonsen et al. 2019),34.911336,-75.301415,"{""tarsusLengthInMillimeters"":39.5, ""exposedCulmenLengthInMillimeters"":32.6, ""billDepthAtGonysInMillimeters"":14.4, ""wingChordInMillimeters"":295, Molt:N}",YGS,Attachment method: sutures,transmission-end,HA01_181469,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1119
181464,HA03,Pterodroma hasitata,2019-05-08 16:35:00.000,2019-08-25 23:59:00.000,Dark phenotype,Adult,390.0,1353-01298,f,other,foieGras R package (Jonsen et al. 2019),34.962514,-75.22126,"{""tarsusLengthInMillimeters"":38.7, ""exposedCulmenLengthInMillimeters"":32.5, ""billDepthAtGonysInMillimeters"":13.7, ""wingChordInMillimeters"":292, Molt:N}",YGS,Attachment method: sutures,transmission-end,HA03_181464,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1114
181468,HA04,Pterodroma hasitata,2019-05-09 10:14:00.000,2019-08-31 23:59:00.000,Light phenotype,Adult,420.0,1353-01297,m,other,foieGras R package (Jonsen et al. 2019),34.887989,-75.269388,"{""tarsusLengthInMillimeters"":39.1, ""exposedCulmenLengthInMillimeters"":35.3, ""billDepthAtGonysInMillimeters"":14.3, ""wingChordInMillimeters"":300, Molt:P1-2}",YGS,Attachment method: sutures,transmission-end,HA04_181468,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1118
181466,HA05,Pterodroma hasitata,2019-05-09 11:07:00.000,2019-05-20 23:59:00.000,Dark phenotype,Adult,380.0,1353-01296,m,other,foieGras R package (Jonsen et al. 2019),34.90855,-75.241054,"{""tarsusLengthInMillimeters"":41.7, ""exposedCulmenLengthInMillimeters"":31.5, ""billDepthAtGonysInMillimeters"":14, ""wingChordInMillimeters"":290, Molt:N}",YGS,Attachment method: sutures,transmission-end,HA05_181466,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1116
181462,HA06,Pterodroma hasitata,2019-05-09 15:10:00.000,2019-11-14 23:59:00.000,Light phenotype,Adult,375.0,1353-01295,m,other,foieGras R package (Jonsen et al. 2019),34.90855,-75.241054,"{""tarsusLengthInMillimeters"":40.2, ""exposedCulmenLengthInMillimeters"":35, ""billDepthAtGonysInMillimeters"":14, ""wingChordInMillimeters"":299, Molt:P3-4, S3}",YGS,Attachment method: sutures,transmission-end,HA06_181462,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1112
181467,HA07,Pterodroma hasitata,2019-05-09 17:35:00.000,2019-09-09 23:59:00.000,Light phenotype,Adult,410.0,1353-01294,m,other,foieGras R package (Jonsen et al. 2019),34.9385,-75.212165,"{""tarsusLengthInMillimeters"":40.6, ""exposedCulmenLengthInMillimeters"":34.6, ""billDepthAtGonysInMillimeters"":13.6, ""wingChordInMillimeters"":297, Molt:P2-4}",YGS,Attachment method: sutures,transmission-end,HA07_181467,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1117
174442,HA08,Pterodroma hasitata,2019-05-14 13:00:00.000,2020-01-24 23:59:00.000,Dark phenotype,Adult,380.0,1353-01292,m,other,foieGras R package (Jonsen et al. 2019),34.5777,-75.427,"{""tarsusLengthInMillimeters"":39.2, ""exposedCulmenLengthInMillimeters"":34.8, ""billDepthAtGonysInMillimeters"":13.6, ""wingChordInMillimeters"":280, Molt:N}",YGS,Attachment method: sutures,transmission-end,HA08_174442,"5 h on, 48 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Microwave Telemetry Inc.,5.0,5g-Solar-PTT,satellite,
174441,HA09,Pterodroma hasitata,2019-05-14 13:34:00.000,2019-08-30 23:59:00.000,Dark phenotype,Adult,380.0,1353-01291,m,other,foieGras R package (Jonsen et al. 2019),34.5777,-75.427,"{""tarsusLengthInMillimeters"":39, ""exposedCulmenLengthInMillimeters"":32.1, ""billDepthAtGonysInMillimeters"":14, ""wingChordInMillimeters"":287, Molt:N}",YGS,Attachment method: sutures,transmission-end,HA09_174441,"5 h on, 48 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Microwave Telemetry Inc.,5.0,5g-Solar-PTT,satellite,
181463,HA11,Pterodroma hasitata,2019-05-14 15:22:00.000,2019-05-30 23:59:00.000,Light phenotype,Adult,460.0,1353-01289,f,other,foieGras R package (Jonsen et al. 2019),34.5777,-75.427,"{""tarsusLengthInMillimeters"":41.4, ""exposedCulmenLengthInMillimeters"":36, ""billDepthAtGonysInMillimeters"":14.4, ""wingChordInMillimeters"":305, Molt:P1-2}",YGS,Attachment method: sutures,transmission-end,HA11_181463,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1113
181465,HA10,Pterodroma hasitata,2019-05-14 15:23:00.000,2019-08-01 23:59:00.000,Light phenotype,Adult,390.0,1353-01290,f,other,foieGras R package (Jonsen et al. 2019),34.5777,-75.427,"{""tarsusLengthInMillimeters"":41.1, ""exposedCulmenLengthInMillimeters"":36, ""billDepthAtGonysInMillimeters"":14.1, ""wingChordInMillimeters"":315, Molt:P2-3}",YGS,Attachment method: sutures,transmission-end,HA10_181465,"6 h on, 28 h off",none,Simple Argos filter applied in Movebank using keep_lc=Z,Customized PTTs weighed 8.5g,Geotrak Inc.,5.0,GT-5GS,satellite,SA1115
